ingredients,description,grade,efficacy
4-아미노-2-하이드록시톨루엔,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
4-아미노-3-하이드록시부티릭애씨드,피부컨디셔닝제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
4-아미노-m-크레솔,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
4-아이소부틸레조시놀,항산화제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
4-클로로레조시놀,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
4-플루오로-6-메틸-m-페닐렌다이아민설페이트,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
4-하이드록시벤조익애씨드,"착향제, 보존제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
4-하이드록시프로필아미노-3-나이트로페놀,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
5-메틸-알파-아이오논,착향제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
"5-브로모-5-나이트로-1,3-디옥산",보존제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
5-아미노-4-클로로-o-크레솔,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
5-아미노-4-클로로-o-크레솔에이치씨엘,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
5-아미노-6-클로로-o-크레솔,"항미생물제(방부제), 염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
6-메톡시-2-메틸아미노-3-아미노피리딘에이치씨엘,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
6-아미노-m-크레솔,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
6-히드록시인돌,염모제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
7-데하이드로콜레스테롤,"유화안정제, 피부컨디셔닝제, 점도조절제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
7-디하이드로콜레스테릴팔미테이트,"피부보호, UV 필터. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
7-에틸바이사이클로옥사졸리딘,보존제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
C10-11아로마틱하이드로카본,용매. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
C10-12알케인/사이클로알케인,용매. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
C10-13알케인,용매. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
C10-14알킬벤젠설포닉애씨드,"기포형성제, 세정제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
C10-16알킬글루코사이드,"세정제, 유화제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
C10-30콜레스테롤/라노스테롤에스터,"라놀린과 콜레스테롤에서 유래된 지방산의 복합 혼합물이며, 피부 상태를 조절하고 화장품의 점도를 증점시킨다.",훌륭함,수분 공급
C10-40아이소알킬아미도프로필에틸디모늄에토설페이트,"정전기방지제, 헤어컨디셔닝제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
C10-40아이소알킬애씨드,"헤어컨디셔닝제, 피부컨디셔닝제, 유연제(연화제). 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
C10-40아이소알킬애씨드글리세라이드,"헤어컨디셔닝제, 피부컨디셔닝제, 유연제(연화제), 세정제, 유화제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
C10-40아이소알킬애씨드콜레스테롤에스터,"피부컨디셔닝제, 점도조절제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
C10-40아이소알킬애씨드트라이글리세라이드,"헤어컨디셔닝제, 피부컨디셔닝제, 유연제(연화제), 점도조절제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
C10-40하이드록시알킬애씨드,"헤어컨디셔닝제, 피부컨디셔닝제, 유연제(연화제). 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
C11-14알케인/사이클로알케인,용매. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
C11-15알케스-7,지방알코올과 폴리에틸렌글리콜의 가벼운 합성 혼합물이다. 유화제와 계면활성제 역할을 한다.,좋음,효과 없음
C11-15알케인/사이클로알케인,용매. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
C12-13알케스-9,"세정제, 유화제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
C12-13알케인/사이클로알케인,용매. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
C12-13알코올,"유화안정제, 유연제(연화제), 점도조절제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
C12-13알킬락테이트,"피부컨디셔닝제, 유연제(연화제). 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
C12-13알킬에틸헥사노에이트,"피부컨디셔닝제, 유연제(연화제). 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
C12-14알킬다이아미노에틸글라이신에이치씨엘,"세정제, 유화제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
C12-14하이드록시알킬말티톨에터,"피부컨디셔닝제, 유연제(연화제). 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
C12-14하이드록시알킬하이드록시디머디리놀레일에터,"피부컨디셔닝제, 유연제(연화제). 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
C12-14하이드록시알킬하이드록시에틸베타-알라닌,"세정제, 헤어컨디셔닝제, 세정제, 계면활성제 - 기포촉진제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
C12-14하이드록시알킬하이드록시에틸사코신,"세정제, 헤어컨디셔닝제, 계면활성제 - 기포촉진제, 점도조절제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
C12-15알코올,"유화안정제, 유연제(연화제), 점도조절제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
C12-15알킬벤조에이트,"피부를 부드럽게 하고 수분 증발을 방지시켜주는 유연제이며, 제형을 부드럽게 하고 고르게 분산해주는 데에도 쓰인다.",좋음,수분 공급
C12-15알킬살리실레이트,"정전기방지제, 헤어컨디셔닝제, 피부컨디셔닝제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
C12-15알킬에틸헥사노에이트,"피부컨디셔닝제, 유연제(연화제). 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
C12-16알케스-9,"지방알코올과 폴리에틸렌글리콜의 가벼운 합성 혼합물로, 유화제 및 계면 활성제 역할을 한다.",좋음,효과 없음
C12-16알킬피이지-2하이드록시프로필하이드록시에틸에틸셀룰로오스,"유화안정제, 피막형성제, 피부컨디셔닝제, 점도조절제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
C12-17알킬케텐다이머,"헤어컨디셔닝제, 모발고정제, 피부컨디셔닝제, 표면조정. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
C12-18알킬글루코사이드,유화안정제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
C12-18애씨드트라이글리세라이드,화장품의 연화제 및 증점제로 사용된다.,좋음,효과 없음
C12-20애씨드피이지-8에스터,"세정제, 유화제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
C12-22알킬아크릴레이트/하이드록시에틸아크릴레이트코폴리머,"결합제, 광안정제, 점도조절제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
C13-14아이소알케인,"C13-14아이소알케인은 지방알코올과 폴리에틸렌글리콜의 가벼운 합성 혼합물이며, 유화제 및 계면 활성제로 작용한다.",좋음,효과 없음
C13-14아이소파라핀,"연화제, 용제, 및 질감 향상제이다.",좋음,효과 없음
C13-14알케인,용매. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.,평가보류 성분,효과 없음
C13-15알케인,"용제와 질감 향상 성분으로, 기름진 잔유물 없이 부드럽고 실키한 사용감을 전달한다고 알려져 있다.",좋음,효과 없음
C13-16아이소알케인,"이전에 C13-16아이소파라핀으로 알려졌던 다용도 성분으로, 무겁거나 기름진 느낌 없이 화장품 제형의 질감, 마무리 및 발림성을 개선한다.",훌륭함,효과 없음
C14-15다이알킬카보네이트,"피부컨디셔닝제, 유연제(연화제). 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
C14-15알코올,"유화안정제, 광안정제, 피부컨디셔닝제, 유연제(연화제), 유화제, 점도조절제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
C14-16글라이콜팔미테이트,"피부컨디셔닝제, 유연제(연화제), 유화제. 해당 성분의 연구내용이 검토 전이기 때문에 아직 성분 등급을 매기지 않았습니다.",평가보류 성분,효과 없음
